"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"107",2016,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","100","100","0500","Ready Reserve Force","U",2016,"OCO",NA,NA,NA,NA,0
"108",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","010","010","110","Supplies and Materials","U",2016,"OCO",NA,NA,NA,NA,0
"109",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","020","020","ES17","Transportation of Fallen Heroes","U",2016,"OCO",NA,NA,NA,NA,2500
"110",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","010","010","010","Energy Management - Def","U",2016,"OCO",NA,NA,NA,NA,0
"111",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","020","020","010","Supply Chain Management - Def","U",2016,"OCO",NA,NA,NA,NA,0
"112",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","030","030","ES08","Defense Logistics Agency (DLA)","U",2016,"OCO",NA,NA,NA,NA,86350
"113",2016,"493004D","Working Capital Fund, DECA","DECA","01","Commissary Resale Stocks","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","U",2016,"OCO",NA,NA,NA,NA,0
"114",2016,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","020","020","ES12","Working Capital Fund, DECA","U",2016,"OCO",NA,NA,NA,NA,0
"115",2016,"493001A","Working Capital Fund, Army","ARMY","01","Working Capital Fund","Army Arsenals Initiative","010","010","100","Industrial Operations","U",2016,"Total",NA,NA,NA,0,NA
"116",2016,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","020","020","400","Supply Management - Army","U",2016,"Total",NA,NA,NA,50432,NA
"117",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","U",2016,"Total",NA,NA,NA,0,NA
"118",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0120","T-AKE","U",2016,"Total",NA,NA,NA,0,NA
"119",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","0401","MPF MLP","U",2016,"Total",NA,NA,NA,0,NA
"120",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","040","040","5000","Post Delivery and Outfitting","U",2016,"Total",NA,NA,NA,15456,NA
"121",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0200","National Def Sealift Vessel","U",2016,"Total",NA,NA,NA,0,NA
"122",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0220","LG Med Spd Ro/Ro Maintenance","U",2016,"Total",NA,NA,NA,124493,NA
"123",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0230","DoD Mobilization Alterations","U",2016,"Total",NA,NA,NA,8243,NA
"124",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","080","080","0250","TAH Maintenance","U",2016,"Total",NA,NA,NA,27784,NA
"125",2016,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","090","090","0900","Research And Development","U",2016,"Total",NA,NA,NA,25197,NA
"126",2016,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","100","100","0500","Ready Reserve Force","U",2016,"Total",NA,NA,NA,272991,NA
"127",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","010","010","110","Supplies and Materials","U",2016,"Total",NA,NA,NA,62898,NA
"128",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","020","020","ES17","Transportation of Fallen Heroes","U",2016,"Total",NA,NA,NA,2500,NA
"129",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","010","010","010","Energy Management - Def","U",2016,"Total",NA,NA,NA,0,NA
"130",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","08","Supply Chain Management - Defense","Working Capital Fund Support","020","020","010","Supply Chain Management - Def","U",2016,"Total",NA,NA,NA,0,NA
"131",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","Working Capital Fund","030","030","ES08","Defense Logistics Agency (DLA)","U",2016,"Total",NA,NA,NA,131434,NA
"132",2016,"493004D","Working Capital Fund, DECA","DECA","01","Commissary Resale Stocks","Working Capital Fund Support","010","010","ES11","Working Capital Fund, DECA","U",2016,"Total",NA,NA,NA,0,NA
"133",2016,"493004D","Working Capital Fund, DECA","DECA","02","Commissary Operations","Working Capital Fund Support","020","020","ES12","Working Capital Fund, DECA","U",2016,"Total",NA,NA,NA,1154154,NA
