"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"80",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","80  ","0604290A","Mid-tier Networking Vehicular Radio (MNVR)","80  ","Y","Y","U",2014,"Total",22553,NA,NA,NA,NA
"81",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","81  ","0604321A","All Source Analysis System","81  ","Y","Y","U",2014,"Total",4837,NA,NA,NA,NA
"82",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","82  ","0604328A","TRACTOR CAGE","82  ","Y","Y","U",2014,"Total",28229,NA,NA,NA,NA
"83",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","83  ","0604601A","Infantry Support Weapons","83  ","Y","Y","U",2014,"Total",82332,NA,NA,NA,NA
"84",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","84  ","0604604A","Medium Tactical Vehicles","84  ","Y","Y","U",2014,"Total",2068,NA,NA,NA,NA
"85",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","85  ","0604611A","JAVELIN","85  ","Y","Y","U",2014,"Total",4471,NA,NA,NA,NA
"86",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","86  ","0604622A","Family of Heavy Tactical Vehicles","86  ","Y","Y","U",2014,"Total",23944,NA,NA,NA,NA
"87",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","87  ","0604633A","Air Traffic Control","87  ","Y","Y","U",2014,"Total",514,NA,NA,NA,NA
"88",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","88  ","0604641A","Tactical Unmanned Ground Vehicle (TUGV)","88  ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"89",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","89  ","0604710A","Night Vision Systems - Eng Dev","89  ","Y","Y","U",2014,"Total",47811,NA,NA,NA,NA
