"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4386,"0601114D8Z","Defense Experimental Program to Stimulate Competitive Research",1,"Basic Research",400,,2003,9864,16455,15197,,,,,
4387,"0604051D8Z","Defense Acquisition Challenge Program (DACP)",5,"System Development And Demonstration",400,,2003,0,0,0,,,,,
4388,"0605648D8Z","Defense Acquisition Executive (DAE) Pilot Program",5,"System Development and Demonstration (SDD)",400,,2003,0,0,0,,,,,
4389,"0303165K","Defense Collaboration Tool Suite (DCTS)",7,,400,,2003,0,0,0,,,,,
4390,"0601114A","Defense Experimental Program to Stimulate Competitive Research",1,,2040,,2003,0,0,0,,,,,
4391,"0605737A","Defense Foreign Language Training Research",6,,2040,,2003,0,0,0,,,,,
4392,"0305183L","Defense Human Intelligence (HUMINT) Program (DHIP)",7,,400,,2003,0,0,0,,,,,
4393,"0305102BQ","Defense Imagery and Mapping Program",7,,400,,2003,143488,160237,0,,,,,
4394,"0302019K","Defense Info Infrastructure Engineering and Integration",7,"Operational System Development",400,,2003,7554,7325,6802,,,,,
4395,"0604130V","Enterprise Security System (ESS)",7,"Operational System Development",400,,2003,0,0,0,,,,,
4396,"0605018BTA","Defense Integrated Military Human Resources System (DIMHRS)",5,"System Development and Demonstration (SDD)",400,,2003,0,0,0,,,,,
4397,"0605018SE","Defense Integrated Military Human Resources System (DIMHRS)",5,,400,,2003,0,0,0,,,,,
4398,"0605014N","Defense Integrated Military Human Resources System (DIMHRS) - RDT&E",5,,1319,,2003,51297,50115,51788,,,,,
4399,"0305146F","Defense Joint Counterintelligence Activities",7,"Operational Systems Development",3600,,2003,0,0,0,,,,,
4400,"0305146L","Defense Joint Counterintelligence Activities",7,,400,,2003,0,0,0,,,,,
4401,"0305146BZ","Defense Joint Counterintelligence Program (JMIP)",7,,400,,2003,0,23194,23035,,,,,
4402,"0305146D8Z","Defense Joint Counterintelligence Program (JMIP)",7,,400,,2003,6058,66508,66500,,,,,
4403,"0303129K","Defense Message System",5,,400,,2003,11803,11446,11279,,,,,
4404,"0305160F","Defense Meteorological Satellite Program (SPACE)",7,,3600,,2003,3875,3816,5031,,,,,
4405,"0604774D8Z","Defense Readiness Reporting System (DRRS)",6,"Management Support",400,,2003,0,0,0,,,,,
4406,"0305159F","Defense Reconnaissance Support Activities (SPACE)",7,,3600,"Classified (Named)",2003,42076,41631,41631,,,,,
4407,"0305159I","Defense Reconnaissance Support Activities (SPACE)",7,,400,,2003,0,0,0,,,,,
4408,"0601153N","Defense Research Sciences",1,"Basic Research",1319,,2003,393557,396330,393056,,,,,
4409,"0601101E","Defense Research Sciences",1,"Basic Research",400,,2003,175646,199030,171383,,,,,
4410,"0601102A","Defense Research Sciences",1,"Basic Research",2040,,2003,139633,140493,138432,,,,,
