"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4961,"0305164F","NAVSTAR Global Positioning System (User Equipment) (SPACE)",7,"Operational Systems Development",3600,,2006,125778,123794,111710,,,,,
4962,"0603421F","NAVSTAR Global Positioning System III",4,,3600,,2006,87364,85172,89556,,,,,
4963,"0604235N","Navy Area Missile Defense",5,,1319,,2006,0,0,0,,,,,
4964,"0604867C","Navy Area Theater Missile Defense - EMD",5,,400,,2006,0,0,0,,,,,
4965,"0604710N","Navy Energy Program",5,,1319,,2006,0,0,0,,,,,
4966,"0603724N","Navy Energy Program",4,"Advanced Component Development & Prototypes",1319,,2006,1595,8521,8217,,,,,
4967,"0603739N","Navy Logistic Productivity",4,"Advanced Component Development & Prototypes",1319,,2006,8909,20575,19863,,,,,
4968,"0305160N","Navy Meteorological and Ocean Sensors-Space (METOC)",7,"Operational Systems Development",1319,,2006,9122,9985,9805,,,,,
4969,"0205658N","Navy Science Assistance Program",7,"Operational Systems Development",1319,,2006,3917,3858,5609,,,,,
4970,"0634208N","Navy Shipboard Energy Program",4,"Advanced Component Development & Prototypes",1320,,2006,0,0,0,,,,,
4971,"0605866N","Navy Space and Electronic Warfare (SEW) Support",6,"Management Support",1319,,2006,2829,2788,3551,,,,,
4972,"0508713N","Navy Standard Integrated Personnel System (NSIPS)",5,,1319,,2006,0,0,0,,,,,
4973,"0101402N","Navy Strategic Communications",7,"Operational Systems Development",1319,,2006,31443,35067,38093,,,,,
4974,"0604574N","Navy Tactical Computer Resources",5,"System Development & Demonstration",1319,,2006,2220,6487,6266,,,,,
4975,"0603727N","Navy Technical Information Presentation System",3,,1319,,2006,187943,180106,177858,,,,,
4976,"0603868C","Navy Theater Wide Missile Defense System",4,,400,,2006,0,0,0,,,,,
4977,"0603758N","Navy Warfighting Experiments and Demonstrations",3,"Advanced Technology Development",1319,,2006,49288,48549,42610,,,,,
4978,"0305906F","NCMC - TW/AA System",7,,3600,,2006,85222,57329,55306,,,,,
4979,"0305199D8Z","Net Centricity",7,"Operational System Development",400,,2006,8387,8254,8024,,,,,
4980,"0303170K","Net-Centric Enterprise Services (NCES)",7,"Operational System Development",400,,2006,79018,77037,74511,,,,,
4981,"0305221F","Network-Centric Collaborative Targeting",7,"Operational Systems Development",3600,,2006,8647,8524,8508,,,,,
4982,"0603766E","Network-Centric Warfare Technology",3,"Advanced Technology Development",400,,2006,136899,134944,120486,,,,,
4983,"0603662D8Z","Networked Communications Capabilities",3,"Advanced Technology Development",400,,2006,0,0,0,,,,,
4984,"0604558N","New Design SSN",5,"System Development & Demonstration",1319,,2006,155807,175567,168891,,,,,
4985,"0605221F","KC-46",5,"System Development & Demonstration",3600,,2006,0,0,0,,,,,
4986,"0604015F","Long Range Strike",4,"Advanced Component Development & Prototypes",3600,,2006,25135,24777,24108,,,,,
4987,"0602110E","Next Generation Internet",2,,400,,2006,0,0,0,,,,,
4988,"0604274N","Next Generation Jammer (NGJ)",5,"System Development & Demonstration",1319,,2006,0,0,0,,,,,
4989,"0603015A","Next Generation Training & Simulation Systems",3,"Advanced Technology Development",2040,,2006,19982,27927,24855,,,,,
4990,"0101314F","Night Fist - USSTRATCOM",7,"Operational Systems Development",3600,"Classified (Named)",2006,5013,4941,4803,,,,,
4991,"0603710A","Night Vision Advanced Technology",3,"Advanced Technology Development",2040,,2006,51761,101690,91213,,,,,
4992,"0604710A","Night Vision Systems - Eng Dev",5,"System Development & Demonstration",2040,,2006,26449,28980,27753,,,,,
4993,"0603774A","Night Vision Systems Advanced Development",4,"Advanced Component Development & Prototypes",2040,,2006,6885,6787,6401,,,,,
4994,"0602709A","Night Vision Technology",2,"Applied Research",2040,,2006,23823,31664,30464,,,,,
4995,"0603851M","Joint Non-Lethal Weapons Testing",4,"Advanced Component Development & Prototypes",1319,,2006,43981,46902,42591,,,,,
4996,"0604647A","Non-Line of Sight Cannon",5,"System Development & Demonstration",2040,,2006,107587,146271,132223,,,,,
4997,"0604646A","Non-Line of Sight Launch System",5,"System Development & Demonstration",2040,,2006,231554,231209,216668,,,,,
4998,"0604715A","Non-System Training Devices - Eng Dev",5,"System Development & Demonstration",2040,,2006,61090,60219,53859,,,,,
4999,"0102411F","North Atlantic Defense System",7,,3600,,2006,0,0,0,,,,,
5000,"0603161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E ADC&P",4,"Advanced Component Development And Prototypes",400,,2006,0,0,0,,,,,
5001,"0604161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E SDD",5,"System Development And Demonstration",400,,2006,0,0,0,,,,,
5002,"0604870A","Nuclear Arms Control Monitoring Sensor Network",5,"System Development & Demonstration",2040,,2006,0,0,0,,,,,
5003,"0605161D8Z","Nuclear Matters-Physical Security",6,"Management Support",400,,2006,12442,12244,11896,,,,,
5004,"0602715BR","Nuclear Sustainment & Counterproliferation Technologies",2,,400,,2006,0,0,0,,,,,
5005,"0604222F","Nuclear Weapons Support",5,"System Development & Demonstration",3600,,2006,15154,13951,13952,,,,,
5006,"0301357F","NUDET Detection System",7,,3600,,2006,0,0,0,,,,,
5007,"0305913F","NUDET Detection System (SPACE)",7,"Operational Systems Development",3600,,2006,32783,32266,32265,,,,,
5008,"0634203N","Ocean and Wave Energy Utilization - OTEC",4,"Advanced Component Development & Prototypes",1320,,2006,0,0,0,,,,,
5009,"0603713N","Ocean Engineering Technology Development",4,"Advanced Component Development & Prototypes",1319,,2006,24620,24462,23938,,,,,
5010,"0602435N","Ocean Warfighting Environment Applied Research",2,"Applied Research",1319,,2006,49793,62470,59921,,,,,
5011,"0637206M","On-Board Vehicle Power",7,"Operational Systems Development",1320,,2006,0,0,0,,,,,
5012,"0205675N","Operational Nuclear Power Systems",7,"Operational Systems Development",1319,,2006,64054,63092,63140,,,,,
5013,"0401314F","Operational Support Airlift",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5014,"0605814OTE","Operational Test Activities and Analyses",6,"Management Support",460,,2006,0,0,0,,,,,
5015,"0605118D8Z","Operational Test and Evaluation",6,,460,,2006,43928,43162,44362,,,,,
5016,"0605118OTE","Operational Test and Evaluation",6,"Management Support",460,,2006,0,0,0,,,,,
5017,"0605865N","Operational Test and Evaluation Capability",6,"Management Support",1319,,2006,13101,12908,12674,,,,,
5018,"0604855F","Operationally Responsive Launch",4,,3600,,2006,23480,38519,45155,,,,,
5019,"0604857F","Operationally Responsive Space",4,"Advanced Component Development & Prototypes",3600,,2006,0,0,0,,,,,
5020,"1160426BB","Operations Advanced Seal Delivery System (ASDS) Development",7,"Operational Systems Development",400,,2006,2040,31888,22110,,,,,
5021,"0804743F","Other Flight Training",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5022,"0604212N","Other Helo Development",5,"System Development & Demonstration",1319,,2006,81112,79894,82139,,,,,
5023,"0203802A","Other Missile Product Improvement Programs",7,"Operational Systems Development",2040,,2006,23560,18414,25105,,,,,
5024,"0808716F","Other Personnel Activities",7,"Operational Systems Development",3600,,2006,111,110,106,,,,,
5025,"9999999999","Other Programs",99,,400,"Classified (Unnamed)",2006,0,0,0,,,,,
5026,"9999999999","Other Programs",99,,2040,"Classified (Unnamed)",2006,0,0,0,,,,,
5027,"9999999999","Other Programs",99,,1319,"Classified (Unnamed)",2006,0,0,0,,,,,
5028,"9999999999","Other Programs",99,,3600,"Classified (Unnamed)",2006,0,0,0,,,,,
5029,"0605027D8Z","OUSD(C) IT Development Initiatives",5,"System Development And Demonstration",400,,2006,0,0,0,,,,,
5030,"0605147T","Overseas Humanitarian Assistance Shared Information System (OHASIS)",7,"Operational System Development",400,,2006,0,0,0,,,,,
5031,"0604221N","P-3 Modernization Program",5,"System Development & Demonstration",1319,,2006,7401,10637,10390,,,,,
5032,"0605127T","Regional International Outreach (RIO) and Partnership for Peace Information Mana",7,"Operational System Development",400,,2006,5660,5580,3249,,,,,
5033,"0605110T","Partnership for Peace (PfP) Information Management System (PIMS)",4,,400,,2006,0,0,0,,,,,
5034,"1001017D8Z","Partnership for Peace Activities",7,,400,,2006,0,0,0,,,,,
5035,"0604865A","Patriot PAC-3 Theater Missile Defense Acquisition - EMD",5,,2040,,2006,0,0,0,,,,,
5036,"0604865C","Patriot PAC-3 Theater Missile Defense Acquisition - EMD",5,,400,,2006,0,0,0,,,,,
5037,"0604869A","Patriot/MEADS Combined Aggregate Program (CAP)",5,"System Development & Demonstration",2040,,2006,288785,284695,274339,,,,,
5038,"0901585C","Pentagon Reservation",4,,400,,2006,0,0,0,,,,,
5039,"0901585C","Pentagon Reservation",6,"RDT&E Management Support",400,,2006,17386,14886,14874,,,,,
5040,"0901220F","Personnel Administration",7,"Operational Systems Development",3600,,2006,16383,16150,15078,,,,,
5041,"0604261F","Personnel Recovery Systems",5,,3600,,2006,0,0,0,,,,,
5042,"0305191F","Personnel Security Investigations Program - Air Force",7,,3600,,2006,0,0,0,,,,,
5043,"0603227F","Personnel, Training and Simulation Technology",3,,3600,,2006,0,0,0,,,,,
5044,"0604703N","Personnel, Training, Simulation, and Human Factors",5,"System Development & Demonstration",1319,,2006,3097,5150,9059,,,,,
5045,"0604287F","Physical Security Equipment",5,"System Development & Demonstration",3600,,2006,11153,10994,10685,,,,,
5046,"0603228D8Z","Physical Security Equipment",4,,400,,2006,0,9851,17211,,,,,
5047,"0603287F","Physical Security Equipment",4,"Advanced Component Development & Prototypes",3600,,2006,21937,25563,24858,,,,,
5048,"0603525N","PILOT FISH",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,141369,138834,128312,,,,,
5049,"0632012D8Z","Plasma Fusion (Polywell)",2,"Applied Research",401,,2006,0,0,0,,,,,
5050,"0632012N","Plasma Fusion (Polywell)",2,"Applied Research",1320,,2006,0,0,0,,,,,
5051,"0603432F","Polar MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,2006,2185,2154,6028,,,,,
5052,"0305186D8Z","Policy R&D Programs",7,"Operational System Development",400,,2006,0,0,0,,,,,
5053,"0605854A","Pollution Prevention",6,,2040,,2006,0,0,0,,,,,
5054,"0605854F","Pollution Prevention",6,,3600,,2006,0,0,0,,,,,
5055,"0603859F","Pollution Prevention - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2006,2735,10483,10188,,,,,
5056,"0604778A","Positioning Systems Development (SPACE)",5,"System Development & Demonstration",2040,,2006,0,0,0,,,,,
5057,"0603114N","Power Projection Advanced Technology",3,"Advanced Technology Development",1319,,2006,82538,127049,127732,,,,,
5058,"0602114N","Power Projection Applied Research",2,"Applied Research",1319,,2006,94148,135454,133511,,,,,
5059,"0207249F","Precision Attack Systems",5,,3600,,2006,0,0,0,,,,,
5060,"0207249F","Precision Attack Systems Procurement",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5061,"0603238N","Precision Strike and Air Defense Technology",3,,1319,,2006,0,0,0,,,,,
5062,"0604659N","Precision Strike Weapons Development Program",4,"Advanced Component Development & Prototypes",1319,,2006,0,0,0,,,,,
5063,"0305219F","MQ-1 Predator A UAV",7,"Operational Systems Development",3600,,2006,61007,64081,54100,,,,,
5064,"0909998N","Problem Disbursements",6,,1319,,2006,0,0,0,,,,,
5065,"0708026F","Productivity, Reliability, Availability, Maintain. Prog Ofc (PRAMPO)",7,,3600,,2006,0,0,0,,,,,
5066,"0605801A","Programwide Activities",6,"RDT&E Management Support",2040,"Classified (Named)",2006,54269,53496,52036,,,,,
5067,"0604165D8Z","Prompt Global Strike Capability Development",5,"System Development And Demonstration",400,,2006,0,0,0,,,,,
5068,"0303135G","Public Key Infrastructure (PKI)",7,"Operational System Development",400,,2006,0,0,0,,,,,
5069,"0603826D8Z","Quick Reaction Special Projects",3,"Advanced Technology Development",400,,2006,110717,108942,106362,,,,,
5070,"0605803S","R&D in Support of DoD Enlistment, Testing and Evaluation",6,,400,,2006,0,0,0,,,,,
5071,"0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation",3,,400,,2006,0,0,0,,,,,
5072,"0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation",6,"Management Support",400,,2006,8853,8727,8727,,,,,
5073,"0604820A","Radar Development",5,"System Development & Demonstration",2040,,2006,5080,5008,4775,,,,,
5074,"0603542N","Radiological Control",4,"Advanced Component Development & Prototypes",1319,,2006,1845,1818,1809,,,,,
5075,"0605306F","Ranch Hand II Epidemiology Study",5,,3600,,2006,0,0,0,,,,,
5076,"0605306F","Ranch Hand II Epidemiology Study",6,,3600,,2006,4188,4128,4024,,,,,
5077,"0605103A","Rand Arroyo Center",6,"RDT&E Management Support",2040,,2006,23800,23460,20382,,,,,
5078,"0605101F","RAND Project Air Force",6,"Management Support",3600,,2006,28354,27139,33098,,,,,
5079,"0203761N","Rapid Technology Transition (RTT)",7,"Operational Systems Development",1319,,2006,24653,25266,26378,,,,,
5080,"0605011F","RDT&E for Aging Aircraft",5,"System Development & Demonstration",3600,,2006,24384,41090,37404,,,,,
5081,"0605862N","RDT&E Instrumentation Modernization",6,,1319,,2006,1632,1608,1571,,,,,
5082,"0605861N","RDT&E Science and Technology Management",6,"Management Support",1319,,2006,63508,62531,65278,,,,,
5083,"0605863N","RDT&E Ship and Aircraft Support",6,"Management Support",1319,,2006,77131,75974,79799,,,,,
5084,"0605601D8Z","RDT&E Transformational Programs",7,,400,,2006,0,0,0,,,,,
5085,"0605879A","Real Property Services (RPS) - RDT&E",6,,2040,,2006,0,0,0,,,,,
5086,"0305229G","Real-Time Architecture Development (RT10)",7,,400,,2006,0,0,0,,,,,
5087,"0605017D8Z","Reduction of Total Ownership Cost",4,"Advanced Component Development & Prototypes",400,,2006,24824,24429,23733,,,,,
5088,"0603906C","Regarding Trench",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2006,0,0,0,,,,,
5089,"0102326F","Region/Sector Operation Control Center Modernization Program",7,"Operational Systems Development",3600,,2006,18237,17937,22453,,,,,
5090,"0604337F","Requirements Analysis and Maturation",4,"Advanced Component Development & Prototypes",3600,,2006,0,0,0,,,,,
5091,"0603751N","RETRACT ELM",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,57036,56180,53728,,,,,
5092,"0603536N","RETRACT JUNIPER",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,54887,54030,43420,,,,,
5093,"0603527D8Z","RETRACT LARCH",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2006,6683,6576,6577,,,,,
5094,"0603527N","RETRACT LARCH",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,82717,81475,80314,,,,,
5095,"0603746N","RETRACT MAPLE",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,308708,303982,309742,,,,,
5096,"0603661N","Retract Violet",7,,1319,"Classified (Named)",2006,0,0,0,,,,,
5097,"0603271N","Electromagnetic Systems Advanced Technology",3,"Advanced Technology Development",1319,,2006,75070,100982,98749,,,,,
5098,"0602271N","Electromagnetic Systems Applied Research",2,"Applied Research",1319,,2006,47302,64642,61251,,,,,
5099,"0605860F","Rocket Systems Launch Program (SPACE)",6,"Management Support",3600,,2006,13773,26391,25365,,,,,
5100,"0305232M","RQ-11 UAV",7,"Operational Systems Development",1319,,2006,0,0,0,,,,,
5101,"0305220N","RQ-4 UAV",7,"Operational Systems Development",1319,,2006,0,0,0,,,,,
5102,"0305233N","RQ-7 UAV",7,"Operational Systems Development",1319,,2006,0,0,0,,,,,
5103,"0604217N","S-3 Weapon System Improvement",5,,1319,,2006,0,0,0,,,,,
5104,"0303142A","SATCOM Ground Environment (SPACE)",7,"Operational Systems Development",2040,,2006,58659,57822,48015,,,,,
5105,"0303109N","Satellite Communications (SPACE)",7,"Operational Systems Development",1319,,2006,541980,539489,527432,,,,,
5106,"0305110F","Satellite Control Network (SPACE)",7,"Operational Systems Development",3600,,2006,29143,31170,24609,,,,,
5107,"0636016A","SBIR/STTR",6,"Management Support",2041,,2006,0,0,0,,,,,
5108,"0604300N","SC-21 Total Ship System Engineering",5,"System Development & Demonstration",1319,,2006,1114791,1139993,1100804,,,,,
5109,"0603856A","SCAMP Block II Dem/Val",4,,2040,,2006,0,0,0,,,,,
5110,"0603907C","Sea Based X-Band Radar (SBX)",4,"Advanced Component Development And Prototypes",400,,2006,0,0,0,,,,,
5111,"0303028A","Security and Intelligence Activities",7,"Operational Systems Development",2040,,2006,2992,11130,7976,,,,,
5112,"0305128F","Security and Investigative Activities",7,"Operational Systems Development",3600,,2006,491,484,470,,,,,
5113,"0207590F","Seek Eagle",7,"Operational Systems Development",3600,,2006,19510,19232,19108,,,,,
5114,"0304311F","Selected Activities",7,,3600,"Classified (Unnamed)",2006,0,0,0,,,,,
5115,"0604814A","Artillery Munitions - EMD",5,"System Development & Demonstration",2040,,2006,113368,114709,101957,,,,,
5116,"0603762E","Sensor and Guidance Technology",3,,400,,2006,0,0,0,,,,,
5117,"0207320F","Sensor Fused Weapons",7,,3600,,2006,0,0,0,,,,,
5118,"0603767E","Sensor Technology",3,"Advanced Technology Development",400,,2006,189452,186746,167962,,,,,
5119,"0602120A","Sensors and Electronic Survivability",2,"Applied Research",2040,,2006,32147,51327,49951,,,,,
5120,"0804758N","Service Support to JFCOM, JNTC",6,"RDT&E Management Support",1319,,2006,10000,18149,17698,,,,,
5121,"0901212F","Service-Wide Support (Not Otherwise Accounted For)",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5122,"0605867N","SEW Surveillance/Reconnaissance Support",6,"Management Support",1319,,2006,13030,12827,12837,,,,,
5123,"0308699F","Shared Early Warning (SEW)",7,"Operational Systems Development",3600,,2006,3295,3235,2959,,,,,
5124,"0603563N","Ship Concept Advanced Design",4,"Advanced Component Development & Prototypes",1319,,2006,11899,21221,20844,,,,,
5125,"0604567N","Ship Contract Design/ Live Fire T&E",5,"System Development & Demonstration",1319,,2006,55672,57424,56415,,,,,
5126,"0603564N","Ship Preliminary Design & Feasibility Studies",4,"Advanced Component Development & Prototypes",1319,,2006,27021,26615,26291,,,,,
5127,"0603755N","Ship Self Defense - Dem/Val",4,"Advanced Component Development & Prototypes",1319,,2006,9592,9447,10772,,,,,
5128,"0604755N","Ship Self Defense (Detect & Control)",5,"System Development & Demonstration",1319,,2006,45931,56642,64570,,,,,
5129,"0602121N","Ship, Submarine & Logistics Technology",2,,1319,,2006,0,0,0,,,,,
5130,"0604512N","Shipboard Aviation Systems",5,"System Development & Demonstration",1319,,2006,33029,37784,36894,,,,,
5131,"0603513N","Shipboard System Component Development",4,"Advanced Component Development & Prototypes",1319,,2006,22150,50918,44476,,,,,
5132,"0605718A","Army Modeling & Sim X-Cmd Collaboration & Integ",6,"RDT&E Management Support",2040,,2006,9437,5360,3945,,,,,
5133,"0207451F","Single Integrated Air Picture (SIAP)",5,"System Development & Demonstration",3600,,2006,0,0,0,,,,,
5134,"0603879N","Single Integrated Air Picture (SIAP) System Engineer (SE)",4,"Advanced Component Development & Prototypes",1319,,2006,36721,36170,34574,,,,,
5135,"0305234M","Small (Level 0) Tactical UAS (STUASL0)",7,"Operational Systems Development",1319,,2006,0,0,0,,,,,
5136,"0305234N","Small (Level 0) Tactical UAS (STUASL0)",7,"Operational Systems Development",1319,,2006,0,0,0,,,,,
5137,"0605502F","Small Business Innovation Research",6,"Management Support",3600,,2006,0,0,339887,,,,,
5138,"0605502BR","Small Business Innovation Research",6,"Management Support",400,,2006,0,0,6579,,,,,
5139,"0605790D8Z","Small Business Innovation Research (SBIR)/ Small Business Technology Transfer",6,"Management Support",400,,2006,1983,6970,6772,,,,,
5140,"0605502A","Small Business Innovative Research",6,"RDT&E Management Support",2040,,2006,0,0,273546,,,,,
5141,"0605502N","Small Business Innovative Research",6,"Management Support",1319,,2006,0,0,361320,,,,,
5142,"0605502S","Small Business Innovative Research",6,"Management Support",400,,2006,0,0,0,,,,,
5143,"0605502D8Z","Small Business Innovative Research",6,"Management Support",400,,2006,0,0,40724,,,,,
5144,"0605502E","Small Business Innovative Research",6,"Management Support",400,,2006,0,0,75061,,,,,
5145,"0605502C","Small Business Innovation Research - MDA",6,"Management Support",400,,2006,0,0,133105,,,,,
5146,"0605502BP","Small Business Innovative Research - Chemical Biological Def",6,"Management Support",400,,2006,0,0,0,,,,,
5147,"1160279BB","Small Business Innovative Research/Small Bus Tech Transfer Pilot Prog",7,"Operational System Development",400,,2006,0,0,14133,,,,,
5148,"0604329N","Small Diameter Bomb (SDB)",5,"System Development & Demonstration",1319,,2006,9965,9816,11655,,,,,
5149,"0604329F","Small Diameter Bomb (SDB) - EMD",5,"System Development & Demonstration",3600,,2006,85988,63521,64474,,,,,
5150,"0604910N","Smart Card Dev/Mod",5,,1319,,2006,715,705,685,,,,,
5151,"0603627A","Smoke, Obscurant and Target Defeating Sys-Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2006,5733,5651,4381,,,,,
5152,"0604609A","Smoke, Obscurant and Target Defeating Sys - Eng Dev",5,"System Development & Demonstration",2040,,2006,0,0,0,,,,,
5153,"0603121D8Z","SO/LIC Advanced Development",3,"Advanced Technology Development",400,,2006,34529,45689,44883,,,,,
5154,"1160444BB","SOF Acquisition",7,,400,,2006,0,0,0,,,,,
5155,"1160474BB","SOF Communications Equipment and Electronics Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5156,"1160489BB","Global Video Surveillance Activities",7,"Operational System Development",400,,2006,0,0,0,,,,,
5157,"1160472BB","SOF Information and Broadcast Systems Advanced Technology",3,"Advanced Technology Development",400,,2006,0,0,0,,,,,
5158,"1160407BB","SOF Medical Technology Development",2,"Applied Research",400,,2006,2215,2183,2133,,,,,
5159,"1160407BB","SOF Medical Technology Development",7,,400,,2006,0,0,0,,,,,
5160,"1160408BB","Operational Enhancements",7,"Operational System Development",400,,2006,66313,74484,66061,,,,,
5161,"1160490BB","Operational Enhancements Intelligence",7,"Operational System Development",400,,2006,0,0,0,,,,,
5162,"1160488BB","SOF Military Information Support Operations",7,"Operational System Development",400,,2006,0,0,0,,,,,
5163,"1160482BB","SOF Rotary Wing Aviation",7,"Operational System Development",400,,2006,0,0,0,,,,,
5164,"1160478BB","SOF Soldier Protection and Survival Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5165,"1160484BB","SOF Surface Craft",7,"Operational System Development",400,,2006,0,0,0,,,,,
5166,"1160476BB","SOF Tactical Radio Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5167,"1160480BB","SOF Tactical Vehicles",7,"Operational System Development",400,,2006,0,0,0,,,,,
5168,"1160483BB","Maritime Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5169,"1160479BB","SOF Visual Augmentation, Lasers and Sensor Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5170,"1160477BB","SOF Weapons Systems",7,"Operational System Development",400,,2006,0,0,0,,,,,
5171,"0603781D8Z","Software Engineering Institute",3,"Advanced Technology Development",400,,2006,25209,30762,26116,,,,,
5172,"0603747A","Soldier Support and Survivability",4,"Advanced Component Development & Prototypes",2040,,2006,3393,3344,33232,,,,,
5173,"0603827A","Soldier Systems - Advanced Development",4,"Advanced Component Development & Prototypes",2040,,2006,10595,12119,11084,,,,,
5174,"0604827A","Soldier Systems - Warrior Dem/Val",5,"System Development & Demonstration",2040,,2006,57818,58473,63251,,,,,
5175,"0634005D8Z","Solid Waste Gasification",4,"Advanced Component Development & Prototypes",401,,2006,0,0,0,,,,,
5176,"0305972N","Space Activities",7,,1319,,2006,0,0,0,,,,,
5177,"0604707N","Space and Electronic Warfare (SEW) Architecture/Engineering Support",4,"Advanced Component Development & Prototypes",1319,,2006,44469,35224,35590,,,,,
5178,"0603302F","Space and Missile Rocket Propulsion",3,,3600,,2006,0,0,0,,,,,
5179,"0305173F","Space and Missile Test and Evaluation Center",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5180,"0305917F","Space Architect",7,,3600,,2006,12878,12676,12331,,,,,
5181,"0603441F","Space Based Infrared Architecture (SPACE) - Dem/Val",4,,3600,,2006,0,0,0,,,,,
5182,"0604441F","Space Based Infrared System (SBIRS) High EMD",5,"System Development & Demonstration",3600,,2006,756630,696562,706560,,,,,
5183,"0604442F","Space Based Infrared System (SBIRS) Low EMD",5,,3600,,2006,0,0,0,,,,,
5184,"0603174C","Space Based Lasers (SBL)",3,,400,,2006,0,0,0,,,,,
5185,"0603438F","Space Control Technology",4,"Advanced Component Development & Prototypes",3600,,2006,14205,15606,14598,,,,,
5186,"0603287E","Space Programs and Technology",3,"Advanced Technology Development",400,,2006,223811,216357,210736,,,,,
5187,"0305940F","Space Situation Awareness Operations",7,"Operational Systems Development",3600,,2006,0,0,0,,,,,
5188,"0604425F","Space Situation Awareness Systems",5,"System Development & Demonstration",3600,,2006,0,0,0,,,,,
5189,"0603410F","Space Systems Environmental Interactions Technology",3,,3600,,2006,0,0,0,,,,,
5190,"0602601F","Space Technology",2,"Applied Research",3600,,2006,84540,104392,103604,,,,,
5191,"0605864F","Space Test Program (STP)",6,"Management Support",3600,,2006,48157,47308,49315,,,,,
5192,"0603893C","Space Tracking & Surveillance System",4,"Advanced Component Development And Prototypes",400,,2006,0,231488,220048,,,,,
5193,"0305174F","Space Innovation, Integration and Rapid Technology Development",7,"Operational Systems Development",3600,,2006,411,405,383,,,,,
5194,"0603876F","Space-Based Laser",3,,3600,,2006,0,0,0,,,,,
5195,"0603876F","Space-Based Laser",4,,3600,,2006,0,0,0,,,,,
5196,"0603858F","Space-Based Radar Dem/Val",4,,3600,,2006,225839,98253,98062,,,,,
5197,"0604251F","Space-Based Radar EMD",5,,3600,,2006,0,0,0,,,,,
5198,"0305182F","Spacelift Range System (SPACE)",7,"Operational Systems Development",3600,,2006,48854,49081,49515,,,,,
5199,"0305910F","SPACETRACK (SPACE)",7,,3600,,2006,151102,164190,182779,,,,,
5200,"0304111F","Special Activities",7,,3600,"Classified (Unnamed)",2006,0,0,0,,,,,
5201,"0304111N","Special Activities",7,,1319,,2006,0,0,0,,,,,
5202,"0605124D8Z","Special Applications Program",6,,400,,2006,20441,20116,19624,,,,,
5203,"0305124F","Special Applications Program",7,,3600,"Classified (Named)",2006,0,0,0,,,,,
5204,"0301359A","Special Army Program",7,,2040,"Classified (Named)",2006,0,0,0,,,,,
5205,"0207248F","Special Evaluation Program",7,,3600,"Classified (Named)",2006,276219,273167,286451,,,,,
5206,"0208161F","Special Evaluation System",7,,3600,"Classified (Named)",2006,0,0,0,,,,,
5207,"1160402BB","SOF Advanced Technology Development",3,"Advanced Technology Development",400,,2006,104315,143111,148964,,,,,
5208,"1160402BB","Special Operations Advanced Technology Development",7,,400,,2006,0,0,0,,,,,
5209,"1160425BB","Special Operations Aircraft Defensive Systems",7,,400,,2006,38824,26934,20765,,,,,
5210,"1160403BB","Aviation Systems",7,"Operational System Development",400,,2006,104330,102840,87267,,,,,
5211,"1160421BB","Special Operations CV-22 Development",7,"Operational System Development",400,,2006,29954,29526,28860,,,,,
5212,"0404011F","Special Operations Forces",7,,3600,,2006,0,0,0,,,,,
5213,"1160405BB","Intelligence Systems Development",7,"Operational System Development",400,,2006,33167,59751,62810,,,,,
5214,"1160404BB","Special Operations Tactical Systems Development",7,"Operational System Development",400,,2006,63513,105238,95636,,,,,
5215,"1160401BB","SOF Technology Development",2,"Applied Research",400,,2006,13595,29960,26502,,,,,
5216,"1160401BB","Special Operations Technology Development",7,,400,,2006,0,0,0,,,,,
5217,"0603787N","Special Processes",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2006,47908,47125,46487,,,,,
5218,"0603787N","Special Processes",5,,1319,"Classified (Named)",2006,0,0,0,,,,,
5221,"0301556F","Special Program",1,,3600,"Classified (Unnamed)",2006,0,0,0,,,,,
