"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
5008,"0634203N","Ocean and Wave Energy Utilization - OTEC",4,"Advanced Component Development & Prototypes",1320,,2001,"Total",0,,0,,,0,,,
5009,"0603713N","Ocean Engineering Technology Development",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",15371,,15230,,,14591,,,
5010,"0602435N","Ocean Warfighting Environment Applied Research",2,"Applied Research",1319,,2001,"Total",60320,,76363,,,75375,,,
5011,"0637206M","On-Board Vehicle Power",7,"Operational Systems Development",1320,,2001,"Total",0,,0,,,0,,,
5012,"0205675N","Operational Nuclear Power Systems",7,"Operational Systems Development",1319,,2001,"Total",53435,,52945,,,52945,,,
5013,"0401314F","Operational Support Airlift",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5014,"0605814OTE","Operational Test Activities and Analyses",6,"Management Support",460,,2001,"Total",0,,0,,,0,,,
5015,"0605118D8Z","Operational Test and Evaluation",6,,460,,2001,"Total",17172,,20978,,,20978,,,
5016,"0605118OTE","Operational Test and Evaluation",6,"Management Support",460,,2001,"Total",0,,0,,,0,,,
5017,"0605865N","Operational Test and Evaluation Capability",6,"Management Support",1319,,2001,"Total",8957,,8874,,,9970,,,
5018,"0604855F","Operationally Responsive Launch",4,,3600,,2001,"Total",0,,0,,,0,,,
5019,"0604857F","Operationally Responsive Space",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
5020,"1160426BB","Operations Advanced Seal Delivery System (ASDS) Development",7,"Operational Systems Development",400,,2001,"Total",0,,0,,,0,,,
5021,"0804743F","Other Flight Training",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5022,"0604212N","Other Helo Development",5,"System Development & Demonstration",1319,,2001,"Total",24393,,36024,,,46618,,,
5023,"0203802A","Other Missile Product Improvement Programs",7,"Operational Systems Development",2040,,2001,"Total",64418,,55900,,,54419,,,
5024,"0808716F","Other Personnel Activities",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5025,"9999999999","Other Programs",99,,400,"Classified (Unnamed)",2001,"Total",0,,0,,,0,,,
5026,"9999999999","Other Programs",99,,2040,"Classified (Unnamed)",2001,"Total",0,,0,,,0,,,
5027,"9999999999","Other Programs",99,,1319,"Classified (Unnamed)",2001,"Total",0,,0,,,0,,,
5028,"9999999999","Other Programs",99,,3600,"Classified (Unnamed)",2001,"Total",0,,0,,,0,,,
