"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
5089,"0102326F","Region/Sector Operation Control Center Modernization Program",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5090,"0604337F","Requirements Analysis and Maturation",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5091,"0603751N","RETRACT ELM",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5092,"0603536N","RETRACT JUNIPER",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5093,"0603527D8Z","RETRACT LARCH",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5094,"0603527N","RETRACT LARCH",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5095,"0603746N","RETRACT MAPLE",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5097,"0603271N","Electromagnetic Systems Advanced Technology",3,"Advanced Technology Development",1319,,2012,"OCO",,0,,0,,,,,
5098,"0602271N","Electromagnetic Systems Applied Research",2,"Applied Research",1319,,2012,"OCO",,0,,0,,,,,
5099,"0605860F","Rocket Systems Launch Program (SPACE)",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5100,"0305232M","RQ-11 UAV",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5101,"0305220N","RQ-4 UAV",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5102,"0305233N","RQ-7 UAV",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5104,"0303142A","SATCOM Ground Environment (SPACE)",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5105,"0303109N","Satellite Communications (SPACE)",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5106,"0305110F","Satellite Control Network (SPACE)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5110,"0603907C","Sea Based X-Band Radar (SBX)",4,"Advanced Component Development And Prototypes",400,,2012,"OCO",,0,,0,,,,,
5111,"0303028A","Security and Intelligence Activities",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5112,"0305128F","Security and Investigative Activities",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5113,"0207590F","Seek Eagle",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5115,"0604814A","Artillery Munitions - EMD",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5118,"0603767E","Sensor Technology",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5119,"0602120A","Sensors and Electronic Survivability",2,"Applied Research",2040,,2012,"OCO",,0,,0,,,,,
5120,"0804758N","Service Support to JFCOM, JNTC",6,"RDT&E Management Support",1319,,2012,"OCO",,0,,0,,,,,
5122,"0605867N","SEW Surveillance/Reconnaissance Support",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5123,"0308699F","Shared Early Warning (SEW)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5124,"0603563N","Ship Concept Advanced Design",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5125,"0604567N","Ship Contract Design/ Live Fire T&E",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5126,"0603564N","Ship Preliminary Design & Feasibility Studies",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5127,"0603755N","Ship Self Defense - Dem/Val",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5128,"0604755N","Ship Self Defense (Detect & Control)",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5130,"0604512N","Shipboard Aviation Systems",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5131,"0603513N","Shipboard System Component Development",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5132,"0605718A","Army Modeling & Sim X-Cmd Collaboration & Integ",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5135,"0305234M","Small (Level 0) Tactical UAS (STUASL0)",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5136,"0305234N","Small (Level 0) Tactical UAS (STUASL0)",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5137,"0605502F","Small Business Innovation Research",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5138,"0605502BR","Small Business Innovation Research",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5139,"0605790D8Z","Small Business Innovation Research (SBIR)/ Small Business Technology Transfer",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5140,"0605502A","Small Business Innovative Research",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5141,"0605502N","Small Business Innovative Research",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5142,"0605502S","Small Business Innovative Research",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5143,"0605502D8Z","Small Business Innovative Research",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5144,"0605502E","Small Business Innovative Research",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5145,"0605502C","Small Business Innovation Research - MDA",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5147,"1160279BB","Small Business Innovative Research/Small Bus Tech Transfer Pilot Prog",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5148,"0604329N","Small Diameter Bomb (SDB)",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5149,"0604329F","Small Diameter Bomb (SDB) - EMD",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5151,"0603627A","Smoke, Obscurant and Target Defeating Sys-Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5152,"0604609A","Smoke, Obscurant and Target Defeating Sys - Eng Dev",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5153,"0603121D8Z","SO/LIC Advanced Development",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5155,"1160474BB","SOF Communications Equipment and Electronics Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5156,"1160489BB","Global Video Surveillance Activities",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5157,"1160472BB","SOF Information and Broadcast Systems Advanced Technology",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5160,"1160408BB","Operational Enhancements",7,"Operational System Development",400,,2012,"OCO",,0,,12000,,,,,
5161,"1160490BB","Operational Enhancements Intelligence",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5162,"1160488BB","SOF Military Information Support Operations",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5163,"1160482BB","SOF Rotary Wing Aviation",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5164,"1160478BB","SOF Soldier Protection and Survival Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5165,"1160484BB","SOF Surface Craft",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5166,"1160476BB","SOF Tactical Radio Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5167,"1160480BB","SOF Tactical Vehicles",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5168,"1160483BB","Maritime Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5169,"1160479BB","SOF Visual Augmentation, Lasers and Sensor Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5170,"1160477BB","SOF Weapons Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5171,"0603781D8Z","Software Engineering Institute",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5172,"0603747A","Soldier Support and Survivability",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,10000,,,,,
5173,"0603827A","Soldier Systems - Advanced Development",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5174,"0604827A","Soldier Systems - Warrior Dem/Val",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5177,"0604707N","Space and Electronic Warfare (SEW) Architecture/Engineering Support",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5179,"0305173F","Space and Missile Test and Evaluation Center",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5182,"0604441F","Space Based Infrared System (SBIRS) High EMD",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5185,"0603438F","Space Control Technology",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5186,"0603287E","Space Programs and Technology",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5187,"0305940F","Space Situation Awareness Operations",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5188,"0604425F","Space Situation Awareness Systems",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5190,"0602601F","Space Technology",2,"Applied Research",3600,,2012,"OCO",,0,,0,,,,,
5191,"0605864F","Space Test Program (STP)",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5192,"0603893C","Space Tracking & Surveillance System",4,"Advanced Component Development And Prototypes",400,,2012,"OCO",,0,,0,,,,,
5193,"0305174F","Space Innovation, Integration and Rapid Technology Development",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5198,"0305182F","Spacelift Range System (SPACE)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5207,"1160402BB","SOF Advanced Technology Development",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5210,"1160403BB","Aviation Systems",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5211,"1160421BB","Special Operations CV-22 Development",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5213,"1160405BB","Intelligence Systems Development",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5214,"1160404BB","Special Operations Tactical Systems Development",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5215,"1160401BB","SOF Technology Development",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5217,"0603787N","Special Processes",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5227,"0603891C","Special Programs - MDA",4,"Advanced Component Development And Prototypes",400,"Classified (Unnamed)",2012,"OCO",,0,,0,,,,,
5228,"0304210BB","Special Applications for Contingencies",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5229,"0408011F","Special Tactics / Combat Control",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5232,"0604233F","Specialized Undergraduate Flight Training",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5233,"0101224N","SSBN Security Technology Program",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5236,"0604503N","SSN-688 and Trident Modernization",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5237,"0603237N","Deployable Joint Command and Control",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5238,"0604366N","Standard Missile Improvements",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5239,"0604215N","Standards Development",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5241,"0101313F","Strat War Planning System - USSTRATCOM",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5242,"0102823F","Strategic Aerospace Intelligence System Activities",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5245,"0603716D8Z","Strategic Environmental Research Program",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5246,"0101221N","Strategic Sub & Weapons System Support",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5247,"0605856N","Strategic Technical Support",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5248,"0605152N","Studies and Analysis Support - Navy",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5249,"0101226N","Submarine Acoustic Warfare Development",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5251,"0604562N","Submarine Tactical Warfare System",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5252,"0603562N","Submarine Tactical Warfare Systems",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5253,"0604604F","Submunitions",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5254,"0605712A","Support of Operational Testing",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5256,"0708611F","Support Systems Development",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5259,"0303166D8Z","Support to Information Operations (IO) Capabilities",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5260,"0605170D8Z","Support to Networks and Information Integration",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5261,"0603502N","Surface and Shallow Water Mine Countermeasures",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5262,"0603553N","Surface ASW",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5263,"0205620N","Surface ASW Combat System Integration",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5264,"0604307N","Surface Combatant Combat System Engineering",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5266,"0603506N","Surface Ship Torpedo Defense",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5267,"0605604A","Survivability/Lethality Analysis",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5268,"0603199F","Sustainment Science and Technology (S&T)",3,"Advanced Technology Development",3600,,2012,"OCO",,0,,0,,,,,
5271,"0207161F","Tactical AIM Missiles",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5272,"0207161N","Tactical AIM Missiles",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5273,"0604272N","Tactical Air Directional Infrared Countermeasures (TADIRCM)",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5275,"0207418F","Tactical Airborne Control Systems",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5276,"0603261N","Tactical Airborne Reconnaissance",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5277,"0604231N","Tactical Command System",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5279,"0305885N","Tactical Cryptologic Activities",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5280,"0304785N","Tactical Cryptologic Systems",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5281,"0205604N","Tactical Data Links",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5282,"0604281F","Tactical Data Networks Enterprise",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5283,"0603766A","Tactical Electronic Surveillance System - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5285,"0602702E","Tactical Technology",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5287,"0305204A","Tactical Unmanned Aerial Vehicles",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5289,"0305204N","Tactical Unmanned Aerial Vehicles",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5290,"0604641A","Tactical Unmanned Ground Vehicle (TUGV)",5,"System Development & Demonstration",2040,,2012,"OCO",,,,0,,,,,
5293,"0603639A","Tank and Medium Caliber Ammunition",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5294,"0604258A","Target Systems Development",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5296,"0604258N","Target Systems Development",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5297,"0604858F","Tech Transition Program",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5299,"0605803A","Technical Information Activities",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5300,"0605804N","Technical Information Services",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5302,"0605104D8Z","Technical Studies, Support and Analysis",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5305,"0603942D8Z","Technology Transfer",3,"Advanced Technology Development (ATD)",400,,2012,"OCO",,0,,0,,,,,
5306,"0303610K","Teleport Program",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5307,"0604716A","Terrain Information - Eng Dev",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5308,"0603941D8Z","Test & Evaluation Science & Technology",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5310,"0605807F","Test and Evaluation Support",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5311,"0605864N","Test and Evaluation Support",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5313,"0207412F","Control and Reporting Center (CRC)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5314,"0207438F","Theater Battle Management (TBM) C4I",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5318,"0604943D8Z","Thermal Vicar",6,"Management Support",400,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5320,"0604256A","Threat Simulator Development",6,"RDT&E Management Support",2040,,2012,"OCO",,0,,0,,,,,
5321,"0604256F","Threat Simulator Development",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5322,"0604256N","Threat Simulator Development",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5324,"0204229N","Tomahawk and Tomahawk Mission Planning Center (TMPC)",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5326,"0603322A","TRACTOR CAGE",3,"Advanced Technology Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5327,"0604328A","TRACTOR CAGE",5,"System Development & Demonstration",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5329,"0203808A","TRACTOR CARD",7,"Operational Systems Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5331,"0603009A","TRACTOR HIKE",3,"Advanced Technology Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5333,"0602122A","TRACTOR HIP",2,"Applied Research",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5335,"0603020A","TRACTOR ROSE",3,"Advanced Technology Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5345,"0605140D8Z","Trusted Foundry",5,"System Development and Demonstration (SDD)",400,,2012,"OCO",,0,,0,,,,,
5348,"0603747N","Undersea Warfare Advanced Technology",3,"Advanced Technology Development",1319,,2012,"OCO",,0,,0,,,,,
5349,"0602747N","Undersea Warfare Applied Research",2,"Applied Research",1319,,2012,"OCO",,0,,0,,,,,
5355,"0601104A","University and Industry Research Centers",1,"Basic Research",2040,,2012,"OCO",,0,,0,,,,,
5356,"0601103A","University Research Initiatives",1,"Basic Research",2040,,2012,"OCO",,0,,0,,,,,
5358,"0601103F","University Research Initiatives",1,"Basic Research",3600,,2012,"OCO",,0,,0,,,,,
5359,"0601103N","University Research Initiatives",1,"Basic Research",1319,,2012,"OCO",,0,,0,,,,,
5363,"0604402N","Unmanned Combat Air Vehicle (UCAV) Advanced Component and Prototype Development",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5366,"0207601F","USAF Modeling and Simulation",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5367,"0605110D8Z","USD(A&T)--Critical Technology Support",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5369,"0206625M","USMC Intelligence/Electronic Warfare Systems (MIP)",7,"Operational Systems Development",1319,,2012,"OCO",,4050,,4050,,,,,
5370,"0604262N","V-22A",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5372,"0604273N","Executive Helo Development",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5374,"0604230N","Warfare Support System",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5375,"0603001A","Warfighter Advanced Technology",3,"Advanced Technology Development",2040,,2012,"OCO",,0,,0,,,,,
5376,"0603782A","Warfighter Information Network-Tactical - DEM/VAL",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5377,"0603729N","Warfighter Protection Advanced Technology",3,"Advanced Technology Development",1319,,2012,"OCO",,0,,0,,,,,
5378,"0203761F","Warfighter Rapid Acquisition Process (WRAP) Rapid Transition Fund",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5379,"0603236N","Warfighter Sustainment Advanced Technology",3,"Advanced Technology Development",1319,,2012,"OCO",,0,,0,,,,,
5380,"0602236N","Warfighter Sustainment Applied Research",2,"Applied Research",1319,,2012,"OCO",,0,,0,,,,,
5381,"0602786A","Warfighter Technology",2,"Applied Research",2040,,2012,"OCO",,0,,0,,,,,
5382,"0305400D8Z","Warfighting and Intelligence-Related Support",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5383,"0207605F","Wargaming and Simulation Centers",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5385,"0604802A","Weapons and Munitions - Eng Dev",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5386,"0603004A","Weapons and Munitions Advanced Technology",3,"Advanced Technology Development",2040,,2012,"OCO",,0,,0,,,,,
5387,"0602624A","Weapons and Munitions Technology",2,"Applied Research",2040,,2012,"OCO",,0,,0,,,,,
5389,"0605000BR","Weapons of Mass Destruction Defeat Capabilities",5,"System Development And Demonstration",400,,2012,"OCO",,0,,0,,,,,
5390,"0602718BR","Weapons of Mass Destruction Defeat Technologies",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5391,"0305111F","Weather Service",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5393,"0603854F","Wideband Global SATCOM RDT&E (Space)",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5396,"0807708D8Z","Wounded Ill and Injured Senior Oversight Committee (WII-SOC) Staff Office",5,"System Development and Demonstration (SDD)",400,,2012,"OCO",,0,,0,,,,,
5398,"0303150A","WWMCCS/Global Command and Control System",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5402,"9999999999","Classified Programs",7,"Operational Systems Development",2040,"Classified (Unnamed)",2012,"OCO",,0,,0,,,,,
5404,"9999999999","Classified Programs",7,"Operational Systems Development",1319,"Classified (Unnamed)",2012,"OCO",,33784,,33784,,,,,
5406,"9999999999","Classified Programs",7,"Operational Systems Development",3600,"Classified (Unnamed)",2012,"OCO",,69000,,69000,,,,,
5408,"9999999999","Classified Programs",6,"Management Support",400,"Classified (Unnamed)",2012,"OCO",,0,,0,,,,,
5409,"9999999999","Classified Programs",7,"Operational System Development",400,"Classified (Unnamed)",2012,"OCO",,135361,,125361,,,,,
5412,"0305205A","Endurance UAVs",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5413,"0605018A","Integrated Personnel and Pay System-Army (IPPS-A)",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5414,"0605455A","SLAMRAAM",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5415,"0605456A","PAC-3/MSE Missile",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5416,"0605457A","Army Integrated Air and Missile Defense (AIAMD)",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5417,"0605626A","Aerial Common Sensor",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5418,"0303032A","TROJAN - RH12",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5419,"0304270A","Electronic Warfare Development",5,"System Development & Demonstration",2040,,2012,"OCO",,0,,0,,,,,
5420,"0203347A","Intelligence Support to Cyber (ISC) MIP",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5421,"0305219A","MQ-1C Gray Eagle UAS",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5422,"0305232A","RQ-11 UAV",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5423,"0305233A","RQ-7 UAV",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5424,"0307665A","Biometrics Enabled Intelligence",7,"Operational Systems Development",2040,,2012,"OCO",,0,,0,,,,,
5425,"0303354N","ASW Systems Development - MIP",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5426,"0303562N","Submarine Tactical Warfare Systems - MIP",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5427,"0304270N","Electronic Warfare Development - MIP",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5428,"0604800M","Joint Strike Fighter (JSF) - EMD",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5429,"0605018N","Navy Integrated Military Human Resources System (N-IMHRS)",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5430,"0304231N","Tactical Command System - MIP",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5431,"0304503N","SSN-688 and Trident Modernization - MIP",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5432,"0303238N","Consolidated Afloat Network Enterprise Services (CANES) - MIP",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5433,"0305208M","Distributed Common Ground/Surface Systems",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5435,"0603830F","Space Security and Defense Program",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5436,"0604436F","Next-Generation MILSATCOM Technology Development",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5437,"0605229F","CSAR HH-60 Recapitalization",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5438,"0606323F","Multi-Service Systems Engineering Initiative",6,"Management Support",3600,,2012,"OCO",,0,,0,,,,,
5439,"0603423F","Global Positioning System III - Operational Control Segment",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5440,"0605018F","AF Integrated Personnel and Pay System (AF-IPPS)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5441,"0207142F","F-35 Squadrons",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5442,"0208059F","Cyber Command Activities",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5443,"0301400F","Space Superiority Intelligence",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5444,"0305105F","DoD Cyber Crime Center",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5445,"0401315F","C-STOL Aircraft",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5446,"0602305E","Machine Intelligence",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5447,"0602668D8Z","Cyber Security Research",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5448,"0603264S","Agile Transportation for the 21st Century (AT21) - Theater Capability",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
