"","Referenced.IDV.PIID","PIID","Modification.Number","Transaction.Number","freq"
"18176","GS30FR0005","GSRPNNCL0739","0",0,1
"18177","GS30FR0006","GSRPNNCL0759","0",0,1
"18178","GS30FR0005","GSRPNNCL0769","0",0,1
"18179","GS30FR0005","GSRPNNCL0779","0",0,1
"18180","GS30FR0006","GSRPNNCL0839","0",0,1
"18181","GS30FR0006","GSRPNNCL0899","0",0,1
"18182","GS30FR0005","GSRPNNCL0919","0",0,1
"18183","GS30FR0005","GSRPNNCL0949","0",0,1
"18184","GS30FR0005","GSRPNNCL0989","0",0,1
"18185","GS30FR0005","GSRPNNCL1049","0",0,1
"18186","GS30FR0005","GSRPNNCL1059","0",0,1
"18187","GS30FR0005","GSRPNNCL1069","0",0,1
"18188","GS30FR0006","GSRPNNCL4989","0",0,1
"18189","GS30FR0006","GSRPNNCL5009","0",0,1
"18190","GS30FR0006","GSRPNNCL5019","0",0,1
"18191","GS30FR0006","GSRPNNCL5039","0",0,1
"18192","GS30FR0005","GSRPNNCL5059","0",0,1
"18193","GS30FR0005","GSRPNNCL5199","0",0,1
"18194","GS30FR0006","GSRPNNCL5219","0",0,1
"18195","GS30FR0006","GSRPNNCL5229","0",0,1
"18196","GS30FR0006","GSRPNNCL5249","0",0,1
"18197","GS30FR0005","GSRPNNCL5259","0",0,1
"18198","GS30FR0005","GSRPNNCL5289","0",0,1
"18199","GS30FR0005","GSRPNNCL5339","0",0,1
"18200","GS30FR0006","GSRPNNCL5359","0",0,1
"18201","GS30FR0005","GSRPNNCL5409","0",0,1
"18202","GS30FR0005","GSRPNNCL5489","0",0,1
"18203","GS30FR0005","GSRPNNCL5509","0",0,1
"18204","GS30FR0006","GSRPNNCL1079","0",0,1
"18205","GS30FR0005","GSRPNNCL1109","0",0,1
"18206","GS30FR0005","GSRPNNCL1119","0",0,1
"18207","GS30FR0005","GSRPNNCL1129","0",0,1
"18208","GS30FR0005","GSRPNNCL1169","0",0,1
"18209","GS30FR0005","GSRPNNCL1179","0",0,1
"18210","GS30FR0005","GSRPNNCL1189","0",0,1
"18211","GS30FR0005","GSRPNNCL1199","0",0,1
"18212","GS30FR0005","GSRPNNCL1209","0",0,1
"18213","GS30FR0005","GSRPNNCL1229","0",0,1
