SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2001,NAVY,STD MSL 2,1984,DE," 8,770.10 "," 11,067.20 "," 13,778.00 ", (530.30), (992.20)," (2,113.00)"," 8,239.80 "," 10,075.00 "," 11,665.00 ", 12.70 , 21.40 
12/1/2001,NAVY,T-45TS,1995,PdE," 5,528.10 "," 5,599.50 ", 176.00 , 176.10 , (29.90), 7.00 ," 5,704.20 "," 5,569.60 ", 183.00 , 1.00 , (1.70)
12/1/2001,NAVY,T-AKE,2000,," 4,262.60 "," 4,890.20 ", 12.00 , 37.60 , 15.40 , - ," 4,300.20 "," 4,905.60 ", 12.00 , 0.90 , 0.30 
12/1/2001,NAVY,TACTICAL TOMAHAWK,1999,DE," 1,683.70 "," 1,863.40 "," 1,365.00 ", 313.10 , 306.50 , 360.00 ," 1,996.80 "," 2,169.90 "," 1,725.00 ", 5.70 , 3.30 
12/1/2001,NAVY,TRIDENT II MSL,1983,PdE," 26,556.30 "," 35,518.50 ", 845.00 , (612.60)," 2,025.40 ", (277.00)," 25,943.70 "," 37,543.90 ", 568.00 , 14.30 , 29.30 
12/1/2001,NAVY,USMC H-1 UPGRADES,1996,DE," 2,792.50 "," 3,547.50 ", 284.00 ," 2,350.70 "," 2,687.10 ", - ," 5,143.20 "," 6,234.60 ", 284.00 , 84.20 , 75.70 
12/1/2001,NAVY,V-22,1986,DE," 23,073.00 "," 29,662.30 ", 913.00 ," 6,431.70 "," 16,578.50 ", (455.00)," 29,504.70 "," 46,240.80 ", 458.00 , 30.50 , 11.50 
12/1/2001,NAVY,Navy Subtotal,,," 236,894.30 "," 304,792.20 ",," 78,374.90 "," 95,050.70 ",," 315,269.20 "," 399,842.90 ",, 19.50 , 9.70 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
